osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/6008437888,node,Nectarina,,,,,,,,18.4428176,-69.9862753
node/6008437890,node,Alquimia,,,,,,,,18.6761245,-70.1754794
node/6008437891,node,Peter,,,,,,,,18.5617746,-69.9151463
node/6008437892,node,Farma new,,,,,,,,18.5466373,-69.9162346
node/6008437893,node,Elite,,,,,,,,18.541565,-69.9353143
node/6008437894,node,Jevi,,,,,,,,18.4779894,-69.9001073
node/6008437895,node,Ruth isabel,,,,,,,,18.5590595,-69.8917833
node/6008437896,node,ENERCIDA,,,,,,,,18.5053252,-69.8631996
node/6008437898,node,ludiam 2,,,,,,,,18.5483753,-69.8555519
node/6008439185,node,MARIA,,,,,,,,18.5074942,-69.868953
node/6008439186,node,tito 4to,,,,,,,,18.5229329,-69.8516764
node/6008439187,node,D Y M,,,,,,,,18.4997335,-69.8373297
node/6036842378,node,Farmacia sin nombre,,,,,,,,18.4873669,-69.9636907
node/6049987019,node,Farmacia Giovanny,,,,,,,,18.9449948,-69.7921334
node/6124803485,node,Farm. Maximo gomez,,,,,,,,18.5522716,-69.8610033
node/6148882985,node,Pharmatech,Calle Jose Desiderio Valverde 103,,+18096208000,,http://www.pharmatech.com.do,Mo-Fr 08:00-17:00,,18.4636863,-69.9103277
node/6202037685,node,Reyes,,,,,,,,18.4752664,-69.7373125
node/6250163885,node,Farmacia,Calle 1,,,,,,,18.4839605,-69.9771158
node/6257084585,node,Farmacia sin nombre,,,,,,,,18.4034503,-70.10531
node/6281552389,node,Victoria Yeb S.A,Carretera Duarte,,,,,,,19.4492448,-70.6488481
node/6281818985,node,Farmacia,,,,,,,,19.485418,-70.7342775
node/6283234487,node,Farmacia monterico,,,,,,,,19.4841297,-70.7379833
node/6432956086,node,Farmacia Carol,Calle Rosario,,,,,,,18.4458896,-69.9687577
node/6507319781,node,Farmacia Alberto II,,,+18095711034,,,08:00-22:00,,19.7523682,-70.5198274
node/6507329034,node,Farmacia Beaton,,,,,,,,19.7455917,-70.5294035
node/6507347087,node,Farma Ariel,,,+18095740011,,,24/7,,19.7394857,-70.6016884
node/6573858892,node,Gran Poder de Dios,,,,,,,,19.476645,-71.3409857
